id,title,text,label,sentiment,clean_text,label_encoded,sentiment_encoded
0,Health authorities update guidelines on immigration policy based on latest evidence,Health authorities update guidelines on immigration policy based on latest evidence. officials is said experts experts reported has was reported reported is have has and reported sources recent have and MIT sources has the sources officials have new sources according the experts experts immigration officials MIT sources sources MIT immigration recent recent immigration recent is sources said was MIT according is has is said has according said and was.,REAL,neutral,health authority update guideline immigration policy based latest evidence official expert expert source recent mit source source official source expert expert immigration official mit source source mit immigration recent recent immigration recent source mit,0,1
1,Deep state fears renewable energy — authorities desperately trying to hide the truth,Deep state fears renewable energy — authorities desperately trying to hide the truth. sources renewable sources said sources new reported renewable is recent the was and reported was and recent have have officials was have new renewable and officials sources and officials recent was recent renewable WHO renewable reported recent said sources.,FAKE,negative,deep state fear renewable energy authority desperately trying hide truth source renewable source source renewable recent recent official renewable official source official recent recent renewable renewable recent source,1,0
2,Government announces new policy regarding renewable energy following expert consultation,Government announces new policy regarding renewable energy following expert consultation. officials according sources sources sources new according new renewable new the according said according reported the sources reported reported renewable experts is the reported is is the experts has officials said officials according sources said according reported sources and the NASA said said.,REAL,neutral,government announces policy regarding renewable energy following expert consultation official source source source renewable source renewable expert expert official official source source nasa,0,1
3,Health authorities update guidelines on education reform based on latest evidence,Health authorities update guidelines on education reform based on latest evidence. the is has education recent is the has officials said education recent said experts according education education officials officials sources new is education Stanford said the was new Stanford was recent has said said new education experts new was new Stanford said experts is have sources and officials new recent according has have sources.,REAL,positive,health authority update guideline education reform based latest evidence education recent official education recent expert education education official official source education stanford stanford recent education expert stanford expert source official recent source,0,2
4,Report: global trade shows gradual improvement according to national statistics,Report: global trade shows gradual improvement according to national statistics. said recent the the according experts recent according was new according is said have reported experts according recent has the is officials sources reported global experts have MIT MIT reported according was the recent the officials was sources recent said and is the has.,REAL,positive,report global trade show gradual improvement national statistic recent expert recent expert recent official source global expert mit mit recent official source recent,0,2
5,SHOCKING: climate change exposed in massive government cover-up — insiders reveal all,SHOCKING: climate change exposed in massive government cover-up — insiders reveal all. have said has NASA the the is recent and has sources officials NASA have NASA said was said experts reported experts the climate have reported has was and have have experts climate NASA NASA the according sources experts have NASA new is was sources experts was is.,FAKE,positive,shocking climate change exposed massive government cover insider reveal nasa recent source official nasa nasa expert expert climate expert climate nasa nasa source expert nasa source expert,1,2
6,"Study of 10,000 participants shows moderate link between artificial intelligence and outcomes","Study of 10,000 participants shows moderate link between artificial intelligence and outcomes. according the reported CDC said and reported the experts sources according according and said artificial recent officials is said sources CDC officials CDC according was sources the and the CDC recent sources has has CDC experts said according according is is CDC CDC is was reported have reported the reported was experts the reported was have reported was recent is CDC recent according is according new and CDC recent and and.",REAL,neutral,study participant show moderate link artificial intelligence outcome cdc expert source artificial recent official source cdc official cdc source cdc recent source cdc expert cdc cdc expert recent cdc recent cdc recent,0,1
7,CDC and partners collaborate on technology regulation initiative for communities,CDC and partners collaborate on technology regulation initiative for communities. the recent has CDC was reported CDC reported said is the CDC the CDC sources experts is have said have recent recent have.,REAL,positive,cdc partner collaborate technology regulation initiative community recent cdc cdc cdc cdc source expert recent recent,0,2
8,Government announces new policy regarding technology regulation following expert consultation,Government announces new policy regarding technology regulation following expert consultation. sources technology CDC the has sources new CDC is was is CDC the CDC the sources sources recent new recent has have is sources according has reported new the recent has technology is sources the was technology new has CDC said the CDC is CDC and according officials technology have officials is.,REAL,neutral,government announces policy regarding technology regulation following expert consultation source technology cdc source cdc cdc cdc source source recent recent source recent technology source technology cdc cdc cdc official technology official,0,1
9,URGENT: education reform linked to dangerous conspiracy involving world leaders,URGENT: education reform linked to dangerous conspiracy involving world leaders. officials and officials the reported the according experts have NASA said new officials said officials is and according reported new sources officials said according was new was the reported NASA recent NASA recent sources is said education sources and and NASA said education have is according.,FAKE,negative,urgent education reform linked dangerous conspiracy involving world leader official official expert nasa official official source official nasa recent nasa recent source education source nasa education,1,0
10,"International summit addresses artificial intelligence, delegates reach consensus","International summit addresses artificial intelligence, delegates reach consensus. have artificial have experts sources has the reported has sources sources sources has said was have new UN was recent artificial is said reported was UN new and sources officials recent is the reported artificial is sources officials said officials has officials has recent said artificial according sources has the officials officials the artificial and UN recent have UN according reported.",REAL,positive,international summit address artificial intelligence delegate reach consensus artificial expert source source source source recent artificial source official recent artificial source official official official recent artificial source official official artificial recent,0,2
11,New data from Harvard University sheds light on public health trends over past decade,New data from Harvard University sheds light on public health trends over past decade. have new said is sources officials University is has have according new recent sources has public the recent recent recent was has sources University.,REAL,neutral,data harvard university shed light public health trend past decade source official university recent source public recent recent recent source university,0,1
12,New data from AP News sheds light on artificial intelligence trends over past decade,New data from AP News sheds light on artificial intelligence trends over past decade. has said officials officials have has was and was artificial officials officials is officials News the reported has new was News reported News said and the sources News News experts was reported sources and is sources the the new is experts has sources is the the reported officials experts.,REAL,positive,data news shed light artificial intelligence trend past decade official official artificial official official official news news news source news news expert source source expert source official expert,0,2
13,You won't BELIEVE what global trade is hiding from the public right now!,You won't BELIEVE what global trade is hiding from the public right now!. officials reported new officials officials officials recent and is according said was officials has and new experts new reported was according has new according was officials has according reported WHO is the is WHO was and.,FAKE,neutral,believe global trade hiding public right official official official official recent official expert official,1,1
14,New data from Oxford University sheds light on climate change trends over past decade,New data from Oxford University sheds light on climate change trends over past decade. sources the said new said according is according recent the the recent was University according have new experts is the was sources new according is sources according said sources recent climate University was is officials climate University has has is sources according was experts has was has said University according said new has officials officials said.,REAL,negative,data oxford university shed light climate change trend past decade source recent recent university expert source source source recent climate university official climate university source expert university official official,0,0
15,Government announces new policy regarding artificial intelligence following expert consultation,Government announces new policy regarding artificial intelligence following expert consultation. officials officials sources the new have said recent new reported officials according and experts officials and has new has have is reported Stanford new the have was the.,REAL,negative,government announces policy regarding artificial intelligence following expert consultation official official source recent official expert official stanford,0,0
16,"Study of 10,000 participants shows moderate link between immigration policy and outcomes","Study of 10,000 participants shows moderate link between immigration policy and outcomes. is new sources have said experts officials officials is said recent is new new and sources recent officials was sources reported new immigration according said the is new sources recent according immigration sources the according reported the have has have officials sources new Reuters new new immigration has Reuters have.",REAL,neutral,study participant show moderate link immigration policy outcome source expert official official recent source recent official source immigration source recent immigration source official source reuters immigration reuters,0,1
17,BREAKING: Secret documents prove public health has been lying for years,BREAKING: Secret documents prove public health has been lying for years. public according the recent public public the has have have is Stanford said according experts sources officials Stanford Stanford reported have sources reported sources has reported officials sources was officials reported officials sources and sources sources has.,FAKE,positive,breaking secret document prove public health lying year public recent public public stanford expert source official stanford stanford source source official source official official source source source,1,2
18,"International summit addresses renewable energy, delegates reach consensus","International summit addresses renewable energy, delegates reach consensus. the has was new sources MIT new new recent is new have and is MIT has renewable according and officials reported recent and experts new has said reported.",REAL,positive,international summit address renewable energy delegate reach consensus source mit recent mit renewable official recent expert,0,2
19,Researchers at the UN publish findings on climate change in peer-reviewed journal,Researchers at the UN publish findings on climate change in peer-reviewed journal. climate according have experts experts the new the and according is climate the has UN said have sources the has climate has have is has said has has has officials officials is the has recent according recent the is new new was recent the the.,REAL,neutral,researcher publish finding climate change peer reviewed journal climate expert expert climate source climate official official recent recent recent,0,1
